PN031, 31/10/2023, NV003, NCC007, 16000000
PN032, 01/11/2023, NV005, NCC002, 16500000
PN033, 02/11/2023, NV001, NCC009, 17000000
PN034, 03/11/2023, NV007, NCC004, 17500000
PN035, 04/11/2023, NV009, NCC001, 18000000
PN036, 05/11/2023, NV002, NCC006, 18500000
PN037, 06/11/2023, NV004, NCC010, 19000000
PN038, 07/11/2023, NV006, NCC003, 19500000
PN039, 08/11/2023, NV008, NCC005, 20000000
PN040, 09/11/2023, NV010, NCC008, 20500000
PN041, 10/11/2023, NV003, NCC002, 21000000
PN042, 11/11/2023, NV005, NCC007, 21500000
PN043, 12/11/2023, NV001, NCC004, 22000000
PN044, 13/11/2023, NV007, NCC009, 22500000
PN045, 14/11/2023, NV009, NCC006, 23000000
PN046, 15/11/2023, NV002, NCC001, 23500000
PN047, 16/11/2023, NV004, NCC008, 24000000
PN048, 17/11/2023, NV006, NCC003, 24500000
PN049, 18/11/2023, NV008, NCC010, 25000000
PN050, 19/11/2023, NV010, NCC005, 25500000
